bike_type,frame_material,production_cost,assembly_time,top_speed,battery_type,motor_power,customer_score
mountain,carbon fiber,797.6,76.15,30.99,lead acid,233W,8.16
folding,aluminum,505.55,50.8,18.87,nimh,296W,4.81
mountain,carbon fiber,751.38,71.93,33.53,li-ion,212W,9.18
mountain,STEel,673.94,72.32,31.85,lead acid,264W,8.89
folding,carbon fiber,612.41,43.4,27.71,nimh,271W,7.61
standard,steel,480.04,41.92,26.67,lead acid,244W,5.66
folding,carbon fiber,328.46,82.5,24.99,lead acid,242W,3.72
road,steel,784.09,61.29,27.05,li-ion,242W,9.97
folding,steel,568.88,49.23,,lead acid,230W,6.77
road,carbon fiber,778.39,62.19,24.37,nimh,235W,4.45
standard,aluminum,600.7,84.25,19.22,li-ion,237W,8.55
road,aluminum,799.7,43.54,24.82,li-ion,161W,9.11
folding,steel,769.08,102.83,27.72,li-ion,238W,6.5
road,aluminum,577.89,38.08,31.71,nimh,221W,7.06
standard,steel,723.46,55.6,36.71,lead acid,299W,8.47
road,aluminum,304.15,64.97,24.58,lead acid,191W,6.8
mountain,steel,377.99,55.81,25.39,nimh,218W,4.94
folding,steel,211.41,59.96,17.35,li-ion,273W,3.95
road,aluminum,566.18,62.53,,nimh,217W,5.89
folding,carbon fiber,627.71,46.63,28.3,lead acid,221W,8.41
road,steel,257.03,56.66,16.64,li-ion,319W,8.44
folding,aluminum,401.1,47.18,20.93,li-ion,268W,5.82
standard,aluminum,360.88,53.86,23.62,nimh,219W,5.71
road,aluminum,409.8,57.83,31.83,lead acid,160W,4.59
road,carbon fiber,201.8,52.67,23.6,-,253W,4.67
folding,aluminum,478.24,63.25,19.43,lead acid,268W,4.27
standard,aluminum,599.2,65.35,21.58,nimh,283W,8.23
folding,steel,231.22,92.37,24.73,lead acid,235W,3.83
road,aluminum,436.82,61.1,22.59,lead acid,203W,4.55
road,carbon fiber,697.65,43.25,24.42,-,146W,5.2
road,aluminum,494.15,77.89,20.28,lead acid,177W,7.75
standard,aluminum,588.99,68.2,30.44,lead acid,281W,6.83
mountain,steel,340.17,39.99,24.11,lead acid,256W,7.18
mountain,carbon fiber,782.29,55.35,29.55,nimh,231W,7.07
mountain,aluminum,388.19,63.82,29.13,nimh,258W,6.13
mountain,steel,777.19,56.87,31.84,li-ion,244W,7.79
road,carbon fiber,741.47,87.01,21.16,lead acid,318W,7.43
folding,steel,204.2,50.19,18.19,li-ion,311W,4.36
road,aluminum,446.72,40.03,19.71,li-ion,258W,5.01
standard,steel,381.59,69.8,21.69,lead acid,256W,5.81
road,aluminum,556.28,55.24,23.84,lead acid,257W,7.91
mountain,aluminum,725.56,57.81,23.19,lead acid,209W,8.91
folding,steel,593.8,27.49,27.97,lead acid,191W,5.71
road,aluminum,283.74,56.95,29.89,nimh,369W,4.58
mountain,carbon fiber,380.39,60.29,26.24,li-ion,304W,5.56
mountain,steel,787.99,67.27,,lead acid,291W,7.9
folding,carbon fiber,591.4,33.41,15.2,nimh,293W,3.92
standard,carbon fiber,328.76,78.71,22.28,lead acid,220W,6.92
mountain,steel,404.1,49.6,18.54,nimh,242W,8.94
folding,aluminum,217.41,48.98,20.56,li-ion,272W,4.44
mountain,carbon fiber,619.61,38.16,,lead acid,274W,7.31
road,aluminum,530.17,45.92,17.27,nimh,233W,5.45
road,steel,420.01,66.86,14.49,lead acid,284W,7.35
mountain,aluminum,296.95,70.1,13.37,lead acid,356W,6.42
folding,carbon fiber,423.01,54.95,24.77,lead acid,173W,6.38
folding,steel,208.4,50.68,28.83,li-ion,234W,5.06
folding,STEel,317.06,73.75,,nimh,355W,5.53
folding,steel,711.76,76.99,21.24,nimh,205W,8.39
folding,carbon fiber,305.65,57.91,21.96,li-ion,208W,5.97
folding,steel,226.41,76.6,37.62,nimh,254W,4.38
folding,carbon fiber,240.22,67.09,26.88,lead acid,283W,6.04
mountain,carbon fiber,468.63,27.33,18.6,lead acid,377W,6.61
mountain,carbon fiber,775.39,77.2,25.12,li-ion,291W,7.01
mountain,steel,352.78,57.78,24.27,lead acid,229W,5.76
folding,steel,277.44,59.76,25.48,lead acid,228W,6.29
road,carbon fiber,666.43,61.56,28.99,li-ion,262W,6.65
standard,steel,666.13,45.6,22.15,-,316W,8.27
mountain,steel,766.98,53.28,25.42,lead acid,281W,7.63
standard,steel,653.83,75.3,28.05,li-ion,192W,8.21
mountain,carbon fiber,754.38,73.79,27.91,lead acid,288W,10.56
standard,carbon fiber,438.92,60.41,19.49,nimh,244W,6.85
standard,carbon fiber,578.19,64.61,17.62,nimh,149W,7.19
mountain,steel,385.49,57.75,22.02,li-ion,247W,9.35
road,steel,343.77,72.34,23.78,lead acid,259W,7.58
mountain,carbon fiber,394.5,58.36,29.57,li-ion,229W,4.47
standard,steel,591.1,78.41,20.86,li-ion,282W,7.45
standard,steel,546.67,68.3,30.39,nimh,297W,7.1
standard,aluminum,319.46,50.05,32.3,li-ion,328W,4.58
mountain,steel,600.1,79.2,,nimh,273W,10.54
road,carbon fiber,657.43,69.83,23.08,lead acid,247W,5.73
folding,carbon fiber,668.53,94.4,30.87,li-ion,257W,8.12
road,aluminum,435.92,61.3,23.04,li-ion,215W,3.52
mountain,carbon fiber,386.39,48.03,30.58,li-ion,110W,8.41
mountain,steel,632.52,93.22,11.44,li-ion,269W,7.48
mountain,carbon fiber,483.94,59.16,28.92,lead acid,232W,5.69
mountain,carbon fiber,364.78,50.97,25.39,nimh,296W,4.61
folding,steel,426.91,20.0,30.77,nimh,229W,4.96
mountain,aluminum,280.44,65.9,,li-ion,360W,4.8
standard,carbon fiber,228.51,58.79,26.51,nimh,215W,4.47
folding,aluminum,227.31,60.39,20.01,li-ion,329W,5.12
standard,carbon fiber,227.01,39.63,22.63,li-ion,296W,4.88
road,steel,351.88,74.0,23.03,nimh,268W,5.62
standard,steel,214.11,58.11,26.76,li-ion,274W,5.56
folding,carbon fiber,313.16,49.7,21.37,-,127W,7.7
road,steel,557.18,73.49,26.6,nimh,292W,6.55
mountain,carbon fiber,270.84,43.35,21.22,nimh,285W,8.2
road,aluminum,495.05,44.98,20.82,li-ion,185W,7.47
road,aluminum,294.55,53.68,20.93,nimh,182W,6.44
road,aluminum,245.92,33.35,26.58,nimh,236W,5.65
road,steel,565.88,71.57,31.44,lead acid,193W,6.99
road,steel,573.09,52.89,19.62,nimh,250W,9.12
mountain,carbon fiber,703.95,88.64,25.47,lead acid,235W,5.61
road,STEel,441.62,61.76,25.27,nimh,205W,5.67
mountain,carbon fiber,267.53,49.0,16.43,nimh,309W,5.27
road,carbon fiber,306.25,58.47,27.08,li-ion,364W,8.13
mountain,steel,382.49,90.28,20.35,li-ion,230W,6.11
mountain,steel,348.27,22.42,19.53,-,247W,6.11
standard,steel,314.66,69.16,24.92,nimh,230W,3.86
folding,aluminum,484.24,63.59,28.33,lead acid,240W,8.77
road,steel,699.75,87.87,24.58,li-ion,273W,7.95
folding,carbon fiber,755.28,86.12,23.72,li-ion,216W,3.11
road,carbon fiber,476.74,66.34,34.52,nimh,277W,5.95
road,carbon fiber,316.16,54.65,23.87,nimh,260W,4.97
mountain,aluminum,712.06,66.12,28.12,nimh,309W,7.75
folding,steel,407.4,57.39,27.51,li-ion,125W,7.63
road,aluminum,254.63,81.39,28.5,li-ion,299W,2.27
folding,carbon fiber,398.7,51.79,24.95,nimh,322W,6.37
road,carbon fiber,555.98,50.52,31.16,lead acid,233W,6.0
standard,carbon fiber,318.86,27.28,23.75,li-ion,200W,3.35
road,steel,509.75,65.82,30.96,li-ion,324W,7.94
road,aluminum,402.0,46.65,25.65,nimh,182W,3.88
road,aluminum,779.89,42.18,33.05,lead acid,237W,6.33
mountain,steel,570.39,44.43,21.76,li-ion,330W,8.61
mountain,steel,667.93,57.87,15.08,li-ion,219W,8.01
standard,aluminum,487.54,59.89,25.59,li-ion,148W,6.51
mountain,steel,793.1,61.18,27.57,nimh,263W,5.43
folding,carbon fiber,639.42,83.46,31.28,lead acid,247W,5.71
standard,aluminum,646.62,69.9,24.47,lead acid,234W,5.03
folding,carbon fiber,719.86,57.23,16.94,nimh,306W,10.1
road,aluminum,792.5,71.8,22.96,-,203W,8.0
folding,carbon fiber,623.81,84.25,21.56,lead acid,258W,5.91
folding,carbon fiber,405.9,39.97,33.02,lead acid,303W,7.78
folding,aluminum,433.22,53.16,17.11,li-ion,270W,5.97
folding,carbon fiber,787.09,54.55,18.13,lead acid,150W,7.59
road,aluminum,784.39,90.72,23.47,nimh,204W,8.68
folding,aluminum,643.02,67.7,24.49,li-ion,318W,8.18
folding,aluminum,431.12,52.99,23.03,nimh,195W,5.21
road,steel,740.27,58.3,24.99,lead acid,185W,8.77
mountain,steel,257.93,55.2,20.56,-,297W,4.73
standard,aluminum,216.21,32.85,24.98,lead acid,232W,6.61
road,aluminum,350.68,51.66,21.91,lead acid,206W,7.35
folding,steel,355.48,71.88,28.16,li-ion,255W,8.81
standard,steel,650.83,59.92,30.2,li-ion,298W,5.71
standard,steel,654.13,68.36,24.56,nimh,117W,6.47
road,carbon fiber,351.58,65.11,23.5,nimh,349W,4.98
mountain,aluminum,579.09,61.6,24.46,li-ion,214W,6.5
standard,steel,574.89,66.11,31.46,li-ion,199W,6.61
mountain,carbon fiber,596.2,34.46,14.88,li-ion,273W,6.52
road,steel,270.54,58.74,30.88,nimh,229W,7.92
standard,steel,250.43,76.26,20.23,nimh,207W,6.47
mountain,steel,543.07,58.93,30.17,nimh,305W,6.44
standard,steel,727.36,44.78,18.97,lead acid,307W,8.31
folding,steel,376.19,54.35,20.36,-,350W,4.04
standard,carbon fiber,708.15,52.4,27.72,lead acid,205W,10.92
mountain,STEel,693.15,49.23,26.36,li-ion,261W,6.59
folding,steel,592.9,48.57,39.95,li-ion,328W,8.17
road,aluminum,694.35,48.22,19.76,lead acid,198W,5.97
road,carbon fiber,551.78,63.55,21.87,lead acid,221W,5.79
road,aluminum,721.36,69.72,23.9,lead acid,109W,6.32
folding,carbon fiber,773.29,78.53,20.88,lead acid,223W,10.54
standard,steel,616.01,62.95,25.39,li-ion,226W,7.69
road,carbon fiber,518.16,62.76,24.96,lead acid,195W,7.39
road,steel,239.32,42.73,30.09,li-ion,279W,4.27
mountain,aluminum,304.45,92.75,19.94,lead acid,285W,4.08
folding,aluminum,363.88,62.74,31.64,lead acid,340W,8.42
folding,carbon fiber,437.72,49.81,33.64,nimh,239W,6.84
standard,steel,727.06,56.55,22.78,-,277W,7.53
folding,carbon fiber,643.62,66.57,25.96,li-ion,245W,9.13
road,steel,465.93,63.09,29.36,nimh,341W,7.24
road,carbon fiber,500.15,75.91,20.94,nimh,315W,5.95
standard,steel,686.24,53.36,21.56,-,202W,6.93
mountain,steel,408.6,55.08,24.94,lead acid,195W,7.45
folding,steel,653.23,60.28,23.27,li-ion,381W,4.28
standard,steel,253.13,46.72,28.49,li-ion,248W,6.25
mountain,carbon fiber,446.42,26.39,20.81,nimh,314W,4.83
standard,aluminum,266.63,35.33,23.53,li-ion,314W,3.94
mountain,carbon fiber,577.29,64.8,15.31,lead acid,141W,6.57
standard,steel,674.24,60.05,20.07,nimh,338W,4.94
mountain,aluminum,410.71,55.03,35.48,lead acid,224W,3.92
folding,carbon fiber,713.56,76.97,25.63,lead acid,253W,5.67
standard,aluminum,382.79,85.9,25.93,nimh,274W,5.71
standard,steel,763.38,56.46,20.9,lead acid,332W,8.16
road,aluminum,327.56,74.41,23.59,nimh,259W,1.71
standard,steel,455.73,26.16,25.36,lead acid,271W,5.28
mountain,carbon fiber,546.37,50.91,24.99,nimh,222W,6.84
mountain,carbon fiber,413.11,55.7,31.51,nimh,287W,6.29
road,steel,479.74,76.67,,nimh,243W,7.96
road,carbon fiber,273.24,53.4,10.0,li-ion,229W,5.9
standard,steel,532.27,40.59,32.12,lead acid,184W,6.22
road,steel,342.57,49.38,32.82,nimh,273W,5.73
mountain,aluminum,546.97,44.13,16.39,nimh,193W,4.08
standard,aluminum,510.66,75.3,29.89,lead acid,245W,8.93
road,aluminum,454.83,66.07,25.14,li-ion,202W,3.54
folding,carbon fiber,275.34,42.88,22.83,lead acid,209W,4.76
mountain,aluminum,461.43,46.87,22.66,-,285W,6.27
mountain,aluminum,711.46,48.07,25.07,lead acid,285W,7.64
folding,carbon fiber,736.07,27.31,31.89,-,313W,8.75
standard,steel,592.3,66.23,14.87,li-ion,211W,7.83
standard,steel,406.5,64.22,21.16,nimh,261W,6.23
mountain,aluminum,305.35,57.18,24.95,lead acid,310W,5.2
road,carbon fiber,628.01,63.97,31.16,li-ion,175W,7.52
road,carbon fiber,323.66,50.19,23.13,lead acid,252W,6.35
folding,carbon fiber,496.25,63.56,39.2,nimh,293W,6.1
standard,aluminum,647.82,67.41,26.7,nimh,190W,5.35
folding,aluminum,346.77,53.03,25.72,li-ion,288W,6.41
mountain,aluminum,215.91,60.46,,li-ion,181W,5.09
mountain,steel,293.95,28.27,21.25,lead acid,249W,5.06
folding,carbon fiber,449.12,78.07,22.22,li-ion,263W,6.25
road,steel,317.96,68.93,22.17,nimh,208W,6.73
mountain,steel,686.54,47.92,33.37,-,317W,7.29
mountain,carbon fiber,279.84,56.14,26.64,nimh,271W,5.32
standard,carbon fiber,659.83,58.8,31.83,lead acid,264W,5.74
folding,carbon fiber,748.67,65.35,23.87,lead acid,247W,9.09
mountain,aluminum,538.57,41.62,33.8,-,295W,6.19
standard,aluminum,527.46,44.43,24.46,nimh,223W,7.07
standard,aluminum,302.65,58.29,18.58,nimh,200W,5.54
mountain,steel,550.58,83.89,18.78,-,182W,8.4
standard,steel,556.88,62.26,27.98,li-ion,318W,4.96
mountain,carbon fiber,426.01,54.54,28.06,lead acid,260W,6.37
folding,carbon fiber,586.59,63.12,,lead acid,223W,4.22
mountain,steel,691.95,74.54,28.82,li-ion,279W,7.13
road,carbon fiber,417.31,72.51,19.98,nimh,205W,4.34
standard,aluminum,504.35,77.98,22.06,li-ion,238W,6.78
mountain,steel,377.39,58.3,31.06,lead acid,196W,5.27
folding,carbon fiber,530.47,69.23,32.01,nimh,137W,5.36
standard,aluminum,349.47,70.8,33.07,lead acid,240W,6.28
road,aluminum,286.74,55.45,25.24,-,207W,4.44
mountain,steel,444.62,49.77,30.12,lead acid,280W,6.27
standard,carbon fiber,600.4,48.85,,lead acid,140W,7.89
mountain,aluminum,564.38,47.8,25.2,nimh,298W,6.33
mountain,steel,713.26,74.96,29.13,lead acid,278W,6.86
mountain,steel,514.26,68.51,28.37,lead acid,301W,8.09
mountain,steel,652.93,44.21,25.4,lead acid,292W,5.95
road,carbon fiber,414.31,64.14,25.35,li-ion,249W,7.72
road,aluminum,255.23,51.14,30.69,lead acid,136W,6.66
mountain,steel,553.28,59.85,29.77,nimh,173W,8.09
folding,aluminum,636.12,75.79,31.15,nimh,245W,8.87
folding,aluminum,464.43,61.99,25.45,lead acid,254W,6.05
mountain,steel,430.22,69.46,27.09,li-ion,199W,3.48
standard,carbon fiber,470.44,68.0,27.1,li-ion,228W,7.1
standard,aluminum,634.02,83.82,26.83,lead acid,221W,6.45
standard,carbon fiber,283.44,44.94,29.09,li-ion,318W,6.59
road,carbon fiber,230.92,68.88,30.02,nimh,199W,6.53
folding,aluminum,416.41,43.09,26.44,nimh,314W,8.65
mountain,carbon fiber,277.74,75.26,19.51,nimh,280W,7.11
road,steel,404.7,66.4,21.59,lead acid,246W,7.42
folding,steel,521.16,50.21,15.32,li-ion,225W,5.99
standard,aluminum,716.26,50.3,19.61,li-ion,295W,8.58
standard,carbon fiber,685.34,40.55,27.21,lead acid,222W,8.03
standard,STEel,220.11,46.45,19.71,nimh,191W,4.19
standard,aluminum,721.96,71.7,26.91,lead acid,229W,10.13
road,steel,292.45,57.84,33.65,li-ion,242W,5.83
mountain,steel,523.86,84.6,22.69,lead acid,261W,7.2
road,carbon fiber,754.98,25.76,20.2,nimh,255W,8.77
road,aluminum,554.78,66.61,21.7,lead acid,329W,6.44
standard,aluminum,526.26,21.67,27.21,nimh,142W,8.85
mountain,aluminum,665.53,72.27,29.26,li-ion,228W,8.35
folding,carbon fiber,433.52,46.01,27.03,li-ion,294W,5.54
mountain,steel,489.64,53.72,23.65,nimh,163W,7.16
standard,aluminum,620.21,70.43,20.39,lead acid,271W,10.15
standard,carbon fiber,369.88,43.63,27.8,nimh,334W,5.44
mountain,aluminum,791.0,49.26,39.73,lead acid,276W,8.86
folding,aluminum,692.85,62.16,30.87,nimh,161W,5.43
standard,carbon fiber,615.11,76.44,24.0,nimh,238W,6.41
folding,steel,287.04,53.17,23.0,lead acid,304W,5.51
mountain,steel,488.44,42.04,33.02,nimh,183W,6.7
mountain,steel,567.98,50.71,28.46,nimh,260W,5.31
folding,steel,594.1,79.0,27.04,lead acid,223W,6.4
road,aluminum,575.49,62.71,33.56,lead acid,333W,4.58
standard,steel,219.81,67.89,31.55,lead acid,269W,5.36
mountain,aluminum,797.0,69.73,25.31,nimh,220W,5.64
road,steel,659.23,43.92,19.64,lead acid,135W,6.31
mountain,carbon fiber,736.67,73.49,22.39,lead acid,249W,7.49
standard,carbon fiber,432.92,78.48,22.4,nimh,171W,7.14
standard,steel,667.03,63.63,27.52,lead acid,225W,7.59
standard,aluminum,465.03,53.22,22.41,lead acid,252W,6.42
road,steel,740.57,57.71,31.14,nimh,169W,4.42
folding,steel,267.83,63.46,20.12,li-ion,200W,6.54
folding,aluminum,630.72,52.5,21.41,li-ion,312W,6.0
road,aluminum,200.3,42.86,20.38,nimh,214W,4.79
road,aluminum,347.07,70.31,33.17,li-ion,196W,8.11
folding,aluminum,471.34,53.22,25.25,lead acid,274W,5.95
folding,carbon fiber,624.11,69.28,30.68,nimh,305W,5.8
mountain,aluminum,662.83,22.52,15.72,li-ion,281W,8.68
mountain,carbon fiber,315.56,70.33,22.45,li-ion,291W,7.02
folding,carbon fiber,680.84,62.85,12.84,nimh,287W,7.91
folding,steel,247.72,73.41,18.87,li-ion,215W,5.6
mountain,aluminum,393.3,58.7,35.56,lead acid,255W,4.22
folding,STEel,474.04,81.96,19.57,li-ion,251W,4.16
road,aluminum,790.4,59.02,20.98,li-ion,288W,9.65
folding,steel,239.92,60.1,24.05,lead acid,265W,5.45
mountain,carbon fiber,458.43,72.39,22.2,lead acid,199W,4.68
standard,steel,341.97,49.75,28.95,li-ion,315W,3.91
road,aluminum,463.83,54.37,,nimh,258W,5.74
road,aluminum,380.69,81.94,23.52,nimh,301W,6.42
standard,carbon fiber,595.0,54.73,29.35,lead acid,249W,9.3
folding,carbon fiber,688.64,51.58,19.16,nimh,214W,8.79
folding,steel,760.98,45.86,25.62,nimh,172W,5.97
mountain,carbon fiber,773.89,66.54,25.69,lead acid,241W,7.9
folding,steel,230.02,87.05,30.13,nimh,249W,5.62
road,carbon fiber,481.84,57.8,22.32,nimh,203W,10.64
folding,steel,299.65,69.17,32.84,li-ion,259W,3.74
mountain,aluminum,419.41,47.96,25.24,nimh,294W,3.82
standard,aluminum,772.09,77.72,24.51,nimh,241W,8.51
mountain,aluminum,422.71,49.14,26.92,lead acid,210W,7.12
standard,steel,738.17,58.18,22.53,li-ion,327W,8.25
standard,carbon fiber,597.7,57.95,32.7,li-ion,133W,9.37
mountain,aluminum,214.71,52.08,15.95,li-ion,337W,6.57
mountain,carbon fiber,502.25,60.11,24.96,li-ion,241W,5.83
folding,carbon fiber,755.88,71.19,34.5,lead acid,228W,6.26
folding,aluminum,641.82,69.78,17.5,-,224W,7.32
road,aluminum,730.67,88.62,28.62,lead acid,242W,6.07
road,carbon fiber,502.55,55.85,25.17,lead acid,262W,4.53
folding,aluminum,232.72,81.75,30.18,nimh,240W,3.21
standard,steel,713.86,62.08,19.66,lead acid,211W,4.82
mountain,aluminum,611.81,67.56,30.55,lead acid,335W,6.96
folding,carbon fiber,276.84,64.78,19.4,li-ion,242W,5.29
road,carbon fiber,721.06,39.17,32.53,li-ion,128W,4.99
folding,aluminum,317.36,74.79,29.98,nimh,326W,5.11
mountain,steel,551.48,73.84,25.38,nimh,242W,4.8
standard,carbon fiber,520.56,45.54,25.97,nimh,332W,9.46
mountain,aluminum,258.23,78.72,20.51,li-ion,262W,5.12
standard,steel,429.01,90.52,26.77,lead acid,342W,4.52
mountain,steel,695.25,56.34,24.81,nimh,336W,6.7
road,aluminum,785.59,53.75,22.26,nimh,266W,10.45
folding,carbon fiber,558.38,65.31,31.1,li-ion,243W,7.73
mountain,steel,275.94,75.6,21.15,li-ion,327W,5.91
mountain,carbon fiber,265.13,66.06,23.36,lead acid,240W,5.34
mountain,steel,798.8,51.32,31.36,lead acid,294W,6.72
mountain,carbon fiber,735.47,46.32,22.25,li-ion,359W,7.93
folding,steel,288.54,40.99,30.19,li-ion,270W,6.46
standard,aluminum,774.19,63.93,21.35,nimh,207W,9.54
road,aluminum,220.71,74.75,29.07,li-ion,211W,5.07
folding,carbon fiber,478.54,26.45,23.17,nimh,216W,7.89
road,carbon fiber,737.57,72.75,13.55,li-ion,292W,10.38
road,steel,592.6,68.52,34.85,li-ion,320W,10.15
standard,steel,714.76,51.39,31.6,nimh,253W,8.16
standard,carbon fiber,352.48,39.43,23.25,li-ion,243W,8.31
folding,steel,691.65,62.32,29.18,nimh,264W,4.39
standard,carbon fiber,248.02,59.35,25.82,li-ion,270W,6.08
mountain,aluminum,614.51,46.29,20.28,lead acid,321W,5.36
mountain,carbon fiber,670.04,53.92,23.1,lead acid,278W,6.53
road,carbon fiber,445.22,39.92,25.49,li-ion,342W,4.51
folding,steel,779.29,82.67,28.0,lead acid,139W,7.26
mountain,carbon fiber,576.69,59.48,18.79,nimh,244W,4.94
standard,aluminum,669.43,54.57,28.53,lead acid,178W,5.88
road,steel,561.38,71.71,16.3,li-ion,321W,6.68
road,carbon fiber,762.18,61.47,21.3,nimh,245W,9.95
standard,aluminum,539.47,60.14,24.62,li-ion,188W,5.11
road,steel,215.31,50.32,32.1,lead acid,299W,6.08
standard,carbon fiber,506.75,55.13,17.52,nimh,235W,6.15
standard,steel,252.53,73.43,28.68,li-ion,253W,6.27
road,steel,507.05,71.8,36.74,lead acid,118W,6.38
standard,aluminum,609.7,68.35,27.82,li-ion,208W,8.92
road,aluminum,494.45,69.36,20.96,lead acid,238W,7.36
folding,steel,710.56,83.54,26.33,li-ion,173W,10.25
road,steel,798.5,69.44,16.22,li-ion,221W,8.31
road,carbon fiber,251.33,50.06,15.04,lead acid,220W,3.34
standard,aluminum,550.88,61.21,20.08,li-ion,248W,8.89
road,aluminum,754.68,69.3,26.52,li-ion,123W,5.49
mountain,carbon fiber,595.3,58.32,22.8,-,246W,5.56
standard,steel,730.37,81.67,24.97,lead acid,193W,7.27
standard,aluminum,734.27,74.93,32.07,li-ion,170W,7.44
standard,carbon fiber,243.22,54.94,19.85,lead acid,271W,4.07
standard,aluminum,606.4,78.21,23.32,nimh,240W,7.56
mountain,aluminum,759.48,59.65,24.2,nimh,172W,7.76
mountain,aluminum,520.86,70.08,21.95,lead acid,249W,3.85
road,steel,209.6,56.97,30.67,li-ion,227W,5.59
standard,steel,739.97,77.57,,nimh,214W,5.54
standard,steel,240.52,60.74,24.72,nimh,224W,4.44
road,aluminum,689.24,62.34,21.41,lead acid,322W,6.16
standard,carbon fiber,682.34,102.22,25.19,lead acid,244W,6.02
road,aluminum,537.97,53.83,34.09,li-ion,213W,3.22
folding,carbon fiber,400.5,32.86,24.22,lead acid,237W,4.66
folding,aluminum,682.04,55.41,23.89,lead acid,175W,7.1
road,aluminum,246.82,79.64,29.85,li-ion,198W,6.25
folding,steel,608.2,31.75,24.23,lead acid,199W,3.65
folding,carbon fiber,568.58,71.18,17.18,nimh,221W,6.72
road,steel,354.58,39.78,33.26,lead acid,295W,6.6
mountain,carbon fiber,536.17,58.4,23.35,lead acid,262W,6.77
standard,aluminum,631.02,47.08,31.5,nimh,277W,7.28
road,aluminum,517.86,80.71,23.57,nimh,233W,5.45
mountain,aluminum,562.88,58.44,21.43,li-ion,232W,8.91
road,steel,547.27,41.95,21.69,nimh,185W,4.63
mountain,aluminum,394.8,62.71,20.36,lead acid,180W,5.35
folding,carbon fiber,610.91,69.67,31.4,li-ion,331W,5.72
standard,aluminum,463.23,47.85,27.95,li-ion,292W,2.27
road,steel,642.42,64.55,18.17,nimh,208W,5.98
standard,steel,456.63,51.75,22.45,lead acid,331W,8.38
road,steel,390.3,43.9,28.6,li-ion,214W,6.34
standard,aluminum,581.49,76.88,23.91,lead acid,239W,5.26
folding,aluminum,236.62,79.31,32.49,lead acid,260W,5.41
folding,aluminum,588.39,76.77,20.8,-,244W,6.01
road,carbon fiber,448.22,54.06,23.88,nimh,268W,6.54
mountain,aluminum,747.47,65.68,27.64,nimh,268W,6.88
mountain,carbon fiber,718.66,20.0,25.15,nimh,250W,6.0
folding,steel,295.45,53.09,19.33,li-ion,292W,4.5
folding,carbon fiber,772.39,64.2,26.37,lead acid,235W,8.43
standard,steel,676.94,51.95,26.21,li-ion,206W,8.37
mountain,steel,611.51,60.83,31.56,-,252W,8.29
folding,aluminum,405.3,81.38,25.83,lead acid,306W,5.78
mountain,aluminum,748.07,73.15,20.43,nimh,265W,6.79
mountain,aluminum,504.05,51.18,17.96,lead acid,320W,6.17
folding,carbon fiber,421.51,83.77,31.81,nimh,214W,6.04
road,steel,260.93,37.05,21.05,lead acid,221W,7.93
folding,carbon fiber,767.58,50.7,22.11,lead acid,305W,9.89
mountain,carbon fiber,789.49,73.75,24.82,-,166W,6.69
road,carbon fiber,321.26,37.46,27.73,lead acid,227W,3.08
mountain,aluminum,671.84,52.12,25.09,li-ion,297W,6.87
mountain,aluminum,628.91,63.75,35.85,li-ion,194W,5.65
folding,steel,697.05,79.61,20.49,lead acid,310W,9.77
standard,steel,281.34,48.86,23.04,nimh,240W,6.35
folding,steel,389.69,51.22,21.88,lead acid,213W,7.22
road,carbon fiber,271.44,58.67,21.11,nimh,292W,6.14
standard,STEel,273.54,59.3,23.64,nimh,254W,5.18
mountain,carbon fiber,697.95,62.65,33.03,lead acid,166W,5.22
mountain,carbon fiber,765.48,52.57,29.28,li-ion,256W,7.49
road,carbon fiber,217.71,69.43,23.4,li-ion,180W,6.06
mountain,aluminum,291.55,39.82,29.4,li-ion,245W,3.62
mountain,steel,474.34,51.9,15.18,nimh,324W,7.62
mountain,steel,236.02,47.85,11.32,lead acid,256W,6.34
folding,carbon fiber,387.59,64.89,30.29,lead acid,282W,7.84
mountain,carbon fiber,355.78,43.07,27.83,nimh,213W,7.57
folding,steel,651.43,85.72,22.13,li-ion,279W,4.5
folding,aluminum,528.96,56.92,21.96,lead acid,239W,8.89
road,steel,391.2,67.53,32.41,-,252W,6.63
mountain,steel,514.86,47.13,19.32,li-ion,277W,6.98
folding,steel,386.99,57.92,25.74,lead acid,256W,6.86
mountain,steel,487.24,51.61,22.67,lead acid,268W,7.09
road,steel,642.12,83.46,19.97,nimh,200W,4.25
standard,carbon fiber,255.53,46.43,17.63,li-ion,227W,4.42
road,carbon fiber,213.51,78.4,23.27,lead acid,281W,4.2
road,aluminum,678.74,51.55,23.87,lead acid,229W,8.03
standard,steel,708.45,55.07,17.14,nimh,272W,10.55
mountain,carbon fiber,313.46,54.38,29.49,lead acid,157W,3.67
standard,steel,399.9,70.21,31.44,lead acid,292W,7.63
standard,steel,750.48,38.94,21.69,nimh,297W,9.25
folding,carbon fiber,442.82,53.15,21.28,nimh,315W,6.09
standard,aluminum,308.35,61.27,27.1,nimh,196W,4.99
road,carbon fiber,328.16,20.0,30.78,-,191W,4.24
standard,carbon fiber,320.66,82.08,21.74,lead acid,167W,5.85
standard,aluminum,431.42,55.13,23.15,nimh,315W,3.66
standard,steel,462.33,59.09,26.39,nimh,277W,7.27
folding,carbon fiber,334.17,65.98,29.18,lead acid,256W,5.49
